time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),rain (mm),wind_speed_10m (km/h)
1/1/2023 12:00:00 AM,24.4,85.0,28.5,0.0,4.7
1/1/2023 01:00:00 AM,24.0,86.0,27.7,0.0,6.2
1/1/2023 02:00:00 AM,23.7,86.0,27.3,0.0,5.8
1/1/2023 03:00:00 AM,23.7,84.0,27.1,0.0,6.7
1/1/2023 04:00:00 AM,23.6,85.0,26.9,0.0,6.7
1/1/2023 05:00:00 AM,23.7,85.0,27.0,0.0,7.4
1/1/2023 06:00:00 AM,23.2,87.0,26.8,0.0,5.3
1/1/2023 07:00:00 AM,23.9,84.0,27.6,0.0,5.2
1/1/2023 08:00:00 AM,26.7,74.0,31.1,0.0,1.9
1/1/2023 09:00:00 AM,27.8,69.0,32.0,0.0,3.2
1/1/2023 10:00:00 AM,28.5,68.0,33.1,0.0,2.6
1/1/2023 11:00:00 AM,29.2,67.0,33.9,0.0,4.8
1/1/2023 12:00:00 PM,29.6,66.0,34.5,0.1,7.8
1/1/2023 01:00:00 PM,26.4,83.0,31.4,10.0,5.1
1/1/2023 02:00:00 PM,26.8,82.0,31.0,0.7,10.5
1/1/2023 03:00:00 PM,26.8,81.0,31.4,0.0,7.9
1/1/2023 04:00:00 PM,27.5,78.0,32.0,0.0,7.9
1/1/2023 05:00:00 PM,26.9,81.0,31.6,0.0,6.5
1/1/2023 06:00:00 PM,24.9,88.0,29.3,0.7,7.0
1/1/2023 07:00:00 PM,24.4,90.0,28.4,1.1,8.4
1/1/2023 08:00:00 PM,25.3,85.0,29.7,0.0,5.5
1/1/2023 09:00:00 PM,24.8,88.0,29.4,0.0,5.1
1/1/2023 10:00:00 PM,24.7,87.0,29.0,0.0,5.5
1/1/2023 11:00:00 PM,24.1,90.0,28.3,0.0,6.0
1/2/2023 12:00:00 AM,23.6,92.0,28.0,0.0,4.4
1/2/2023 01:00:00 AM,23.1,94.0,27.1,0.0,6.0
1/2/2023 02:00:00 AM,22.7,94.0,26.5,0.0,5.9
1/2/2023 03:00:00 AM,23.5,92.0,27.7,0.0,5.5
1/2/2023 04:00:00 AM,23.4,93.0,27.6,0.0,5.5
1/2/2023 05:00:00 AM,23.2,93.0,27.3,0.0,5.1
1/2/2023 06:00:00 AM,22.7,94.0,26.8,0.0,4.4
1/2/2023 07:00:00 AM,23.5,90.0,27.1,0.0,8.4
1/2/2023 08:00:00 AM,25.9,84.0,30.1,0.0,8.4
1/2/2023 09:00:00 AM,27.1,75.0,30.6,0.0,10.9
1/2/2023 10:00:00 AM,28.0,73.0,31.8,0.0,10.2
1/2/2023 11:00:00 AM,28.8,68.0,32.8,0.1,11.6
1/2/2023 12:00:00 PM,29.6,65.0,33.7,0.1,12.5
1/2/2023 01:00:00 PM,30.1,62.0,34.1,0.1,11.8
1/2/2023 02:00:00 PM,30.7,58.0,34.0,0.1,13.4
1/2/2023 03:00:00 PM,30.6,58.0,33.1,0.0,14.2
1/2/2023 04:00:00 PM,29.8,61.0,32.1,0.0,15.4
1/2/2023 05:00:00 PM,28.3,67.0,31.3,0.0,11.6
1/2/2023 06:00:00 PM,26.5,74.0,29.9,0.0,8.2
1/2/2023 07:00:00 PM,25.1,82.0,29.1,0.0,5.4
1/2/2023 08:00:00 PM,24.4,87.0,28.4,0.0,6.7
1/2/2023 09:00:00 PM,25.0,84.0,29.3,0.0,4.7
1/2/2023 10:00:00 PM,24.7,86.0,28.5,0.0,8.0
1/2/2023 11:00:00 PM,24.4,88.0,27.8,0.0,11.3
1/3/2023 12:00:00 AM,24.2,88.0,27.4,0.0,11.8
1/3/2023 01:00:00 AM,24.1,88.0,27.1,0.0,12.7
1/3/2023 02:00:00 AM,24.1,87.0,26.9,0.0,14.2
1/3/2023 03:00:00 AM,23.9,88.0,27.0,0.0,11.6
1/3/2023 04:00:00 AM,24.2,85.0,26.8,0.0,14.0
1/3/2023 05:00:00 AM,24.5,82.0,26.8,0.0,14.9
1/3/2023 06:00:00 AM,23.9,84.0,26.3,0.0,14.0
1/3/2023 07:00:00 AM,23.6,89.0,26.5,1.1,12.5
1/3/2023 08:00:00 AM,23.6,90.0,26.2,0.2,15.3
1/3/2023 09:00:00 AM,23.9,92.0,26.8,0.7,15.5
1/3/2023 10:00:00 AM,24.1,93.0,27.4,0.3,14.5
1/3/2023 11:00:00 AM,25.1,88.0,28.6,0.1,13.3
1/3/2023 12:00:00 PM,27.6,76.0,31.5,0.1,15.0
1/3/2023 01:00:00 PM,28.7,72.0,33.2,0.1,13.3
1/3/2023 02:00:00 PM,29.2,68.0,33.4,0.2,12.3
1/3/2023 03:00:00 PM,26.9,79.0,30.5,3.8,12.3
1/3/2023 04:00:00 PM,26.8,78.0,30.3,0.9,11.8
1/3/2023 05:00:00 PM,26.2,80.0,29.8,0.5,10.7
1/3/2023 06:00:00 PM,24.6,87.0,29.0,0.0,4.4
1/3/2023 07:00:00 PM,24.1,89.0,28.5,0.0,5.1
1/3/2023 08:00:00 PM,23.9,92.0,28.3,0.0,5.6
1/3/2023 09:00:00 PM,23.9,91.0,28.5,0.0,4.0
1/3/2023 10:00:00 PM,23.6,92.0,28.0,0.0,5.2
1/3/2023 11:00:00 PM,23.4,92.0,27.3,0.0,6.9
1/4/2023 12:00:00 AM,23.2,92.0,26.4,0.0,11.3
1/4/2023 01:00:00 AM,23.0,90.0,25.5,0.0,14.1
1/4/2023 02:00:00 AM,23.0,87.0,25.0,0.0,15.2
1/4/2023 03:00:00 AM,23.0,85.0,25.0,0.0,14.5
1/4/2023 04:00:00 AM,23.1,82.0,24.5,0.0,16.6
1/4/2023 05:00:00 AM,23.4,80.0,24.9,0.0,15.1
1/4/2023 06:00:00 AM,23.2,80.0,24.7,0.0,15.5
1/4/2023 07:00:00 AM,23.6,79.0,24.9,0.0,16.2
1/4/2023 08:00:00 AM,25.6,72.0,27.1,0.0,17.4
1/4/2023 09:00:00 AM,26.9,68.0,28.2,0.0,18.8
1/4/2023 10:00:00 AM,27.9,63.0,28.9,0.0,20.3
1/4/2023 11:00:00 AM,29.1,58.0,29.8,0.0,22.1
1/4/2023 12:00:00 PM,29.6,55.0,30.3,0.0,20.9
1/4/2023 01:00:00 PM,29.9,54.0,30.6,0.0,20.9
1/4/2023 02:00:00 PM,30.1,54.0,30.9,0.0,20.2
1/4/2023 03:00:00 PM,29.9,55.0,30.7,0.0,19.9
1/4/2023 04:00:00 PM,29.0,58.0,30.2,0.0,18.1
1/4/2023 05:00:00 PM,27.6,66.0,30.2,0.0,10.5
1/4/2023 06:00:00 PM,26.3,70.0,29.0,0.0,9.2
1/4/2023 07:00:00 PM,25.5,75.0,28.4,0.1,8.9
1/4/2023 08:00:00 PM,23.9,87.0,27.8,0.1,5.3
1/4/2023 09:00:00 PM,23.7,89.0,28.0,0.6,2.9
1/4/2023 10:00:00 PM,23.7,93.0,28.3,0.4,3.7
1/4/2023 11:00:00 PM,23.5,92.0,27.1,0.5,9.0
1/5/2023 12:00:00 AM,23.4,92.0,26.3,0.4,13.3
1/5/2023 01:00:00 AM,23.5,88.0,25.5,0.2,17.6
1/5/2023 02:00:00 AM,23.3,87.0,25.0,0.1,18.0
1/5/2023 03:00:00 AM,23.2,86.0,25.0,0.0,16.6
1/5/2023 04:00:00 AM,23.2,84.0,25.1,0.0,14.8
1/5/2023 05:00:00 AM,23.1,85.0,25.2,1.5,13.8
1/5/2023 06:00:00 AM,22.6,88.0,24.8,0.5,13.2
1/5/2023 07:00:00 AM,22.5,91.0,25.0,4.6,13.1
1/5/2023 08:00:00 AM,22.7,89.0,24.8,0.5,15.3
1/5/2023 09:00:00 AM,23.3,92.0,26.2,0.8,13.6
1/5/2023 10:00:00 AM,22.9,92.0,25.9,2.7,12.0
1/5/2023 11:00:00 AM,23.1,94.0,26.4,5.9,10.5
1/5/2023 12:00:00 PM,24.1,89.0,27.1,1.6,13.5
1/5/2023 01:00:00 PM,25.0,83.0,28.1,0.4,11.5
1/5/2023 02:00:00 PM,25.4,82.0,28.9,0.3,9.9
1/5/2023 03:00:00 PM,25.8,83.0,30.0,0.2,7.6
1/5/2023 04:00:00 PM,25.6,84.0,29.9,0.6,7.2
1/5/2023 05:00:00 PM,25.4,87.0,29.8,0.1,7.2
1/5/2023 06:00:00 PM,24.7,88.0,29.0,0.0,6.2
1/5/2023 07:00:00 PM,24.5,88.0,28.9,0.0,4.7
1/5/2023 08:00:00 PM,22.9,95.0,25.8,0.0,13.9
1/5/2023 09:00:00 PM,23.1,94.0,25.8,0.4,15.4
1/5/2023 10:00:00 PM,23.1,94.0,26.0,0.0,13.4
1/5/2023 11:00:00 PM,23.1,94.0,26.4,0.0,11.2
1/6/2023 12:00:00 AM,23.1,93.0,26.5,0.2,9.8
1/6/2023 01:00:00 AM,23.3,92.0,26.7,0.1,10.0
1/6/2023 02:00:00 AM,23.3,91.0,26.6,0.0,10.0
1/6/2023 03:00:00 AM,23.1,91.0,26.7,0.0,7.4
1/6/2023 04:00:00 AM,23.3,90.0,26.8,0.0,7.9
1/6/2023 05:00:00 AM,23.3,89.0,26.7,0.0,8.0
1/6/2023 06:00:00 AM,23.4,89.0,26.6,0.0,9.8
1/6/2023 07:00:00 AM,23.5,89.0,26.7,0.1,9.9
1/6/2023 08:00:00 AM,23.4,92.0,26.3,0.0,13.6
1/6/2023 09:00:00 AM,23.9,91.0,27.6,2.1,9.8
1/6/2023 10:00:00 AM,23.3,96.0,27.1,3.1,10.8
1/6/2023 11:00:00 AM,23.5,96.0,27.3,5.8,10.5
