time,predicted_heat_index,date,hour
2023-01-01 00:00:00,24.679458896079357,2023-01-01,0
2023-01-01 01:00:00,23.925423205312633,2023-01-01,1
2023-01-01 02:00:00,23.432351741915898,2023-01-01,2
2023-01-01 03:00:00,23.624082943151222,2023-01-01,3
2023-01-01 04:00:00,23.38441150295181,2023-01-01,4
2023-01-01 05:00:00,23.5275725270771,2023-01-01,5
2023-01-01 06:00:00,22.54844649962352,2023-01-01,6
2023-01-01 07:00:00,23.92690608699144,2023-01-01,7
2023-01-01 08:00:00,28.633314746568868,2023-01-01,8
2023-01-01 09:00:00,30.178187566027482,2023-01-01,9
2023-01-01 10:00:00,31.359435455873044,2023-01-01,10
2023-01-01 11:00:00,32.63937662966948,2023-01-01,11
2023-01-01 12:00:00,33.33543793129699,2023-01-01,12
2023-01-01 13:00:00,28.641222024385357,2023-01-01,13
2023-01-01 14:00:00,29.465518631401075,2023-01-01,14
2023-01-01 15:00:00,29.38374420790736,2023-01-01,15
2023-01-01 16:00:00,30.633703517395716,2023-01-01,16
2023-01-01 17:00:00,29.61843688939741,2023-01-01,17
2023-01-01 18:00:00,25.499661643695624,2023-01-01,18
2023-01-01 19:00:00,24.379286171081905,2023-01-01,19
2023-01-01 20:00:00,26.36839678104826,2023-01-01,20
2023-01-01 21:00:00,25.294258238115614,2023-01-01,21
2023-01-01 22:00:00,25.134150425610873,2023-01-01,22
2023-01-01 23:00:00,23.78277203010433,2023-01-01,23
2023-01-02 00:00:00,22.623513917031264,2023-01-02,0
2023-01-02 01:00:00,21.406979510771496,2023-01-02,1
2023-01-02 02:00:00,20.662396029112326,2023-01-02,2
2023-01-02 03:00:00,22.434994240611218,2023-01-02,3
2023-01-02 04:00:00,22.129394619220257,2023-01-02,4
2023-01-02 05:00:00,21.742831128928216,2023-01-02,5
2023-01-02 06:00:00,20.6643601315124,2023-01-02,6
2023-01-02 07:00:00,22.675350507912444,2023-01-02,7
2023-01-02 08:00:00,27.59884161480979,2023-01-02,8
2023-01-02 09:00:00,29.488811576687834,2023-01-02,9
2023-01-02 10:00:00,31.05915097530331,2023-01-02,10
2023-01-02 11:00:00,31.95861266111941,2023-01-02,11
2023-01-02 12:00:00,33.065612460684285,2023-01-02,12
2023-01-02 13:00:00,33.38087267003764,2023-01-02,13
2023-01-02 14:00:00,33.71091156038275,2023-01-02,14
2023-01-02 15:00:00,33.59190124958706,2023-01-02,15
2023-01-02 16:00:00,32.61620325223045,2023-01-02,16
2023-01-02 17:00:00,30.83257450058759,2023-01-02,17
2023-01-02 18:00:00,28.283637428420835,2023-01-02,18
2023-01-02 19:00:00,26.017702382935358,2023-01-02,19
2023-01-02 20:00:00,24.56698321999558,2023-01-02,20
2023-01-02 21:00:00,25.798162709259255,2023-01-02,21
2023-01-02 22:00:00,25.17605755096454,2023-01-02,22
2023-01-02 23:00:00,24.503193489537672,2023-01-02,23
2023-01-03 00:00:00,24.126333263252757,2023-01-03,0
2023-01-03 01:00:00,23.943515841314362,2023-01-03,1
2023-01-03 02:00:00,24.020052137697814,2023-01-03,2
2023-01-03 03:00:00,23.584754370495506,2023-01-03,3
2023-01-03 04:00:00,24.369902803290444,2023-01-03,4
2023-01-03 05:00:00,24.995671488718994,2023-01-03,5
2023-01-03 06:00:00,23.923839097404045,2023-01-03,6
2023-01-03 07:00:00,22.962749720642094,2023-01-03,7
