city,latitude,longitude
Manila,14.6,120.98
Angeles City,15.15,120.58
Angono,14.53,121.15
Antipolo,14.63,121.12
Apalit,14.95,120.77
Arayat,15.15,120.77
Bacolod City,10.67,122.95
Bacoor,14.46,120.93
Bago City,10.53,122.83
Baguio,16.42,120.59
Bais,9.59,123.12
Balagtas,14.82,120.87
Balanga,14.68,120.54
Balayan,13.94,120.73
Baliuag,14.95,120.9
Batac City,18.06,120.57
Batangas,13.76,121.06
Bañga,6.42,124.78
Binangonan,14.46,121.19
Binonga,10.77,122.98
Bislig,8.22,126.32
Biñan,14.34,121.08
Bocaue,14.8,120.93
Budta,7.2,124.44
Bulacan,14.79,120.88
Bulaon,15.08,120.66
Butuan,8.95,125.54
Cabanatuan City,15.49,120.97
Cabuyao,14.27,121.13
Cadiz,10.95,123.29
Cagayan de Oro,8.48,124.65
Cainta,14.58,121.12
Calamba,14.21,121.17
Calapan,13.41,121.18
Calbayog City,12.07,124.6
Caloocan City,14.65,120.97
Calumpit,14.92,120.77
Candelaria,13.93,121.42
Capas,15.33,120.59
Carmona,14.31,121.06
Catbalogan,11.78,124.89
Cavite City,14.48,120.9
Cebu City,10.32,123.89
City of Isabela,6.7,121.97
Concepcion,15.33,120.66
Cotabato,7.22,124.25
Daet,14.11,122.96
Dagupan,16.04,120.33
Danao,10.52,124.03
Dapitan,8.66,123.42
Dasmariñas,14.33,120.94
Davao,7.07,125.61
Digos,6.75,125.36
Dinalupihan,14.88,120.45
Dipolog,8.57,123.34
Dumaguete,9.31,123.3
Gapan,15.31,120.95
General Santos,6.11,125.17
General Trias,14.39,120.88
Guiguinto,14.83,120.88
Guyong,14.84,120.98
Hagonoy,14.83,120.73
Ilagan,17.15,121.89
Iligan,8.23,124.24
Iligan City,8.25,124.4
Iloilo,10.7,122.56
Imus,14.43,120.94
Iriga City,13.43,123.41
Jolo,6.05,121
Kabankalan,9.98,122.81
Kalibo (poblacion),11.71,122.36
Kawit,14.44,120.9
Kidapawan,7.01,125.09
Koronadal,6.5,124.85
Laoag,18.2,120.6
Lapu-Lapu City,10.31,123.95
Las Piñas,14.45,120.98
Legaspi,13.14,123.74
Libertad,8.94,125.5
Libon,13.3,123.44
Limay,14.56,120.6
Lingayen,16.02,120.23
Lipa City,13.94,121.16
Los Baños,14.17,121.24
Lubao,14.94,120.6
Lucena,13.93,121.62
Mabalacat City,15.22,120.57
Magalang,15.22,120.66
Magugpo,7.45,125.81
Makati City,14.55,121.03
Malaybalay,8.16,125.13
Malingao,7.16,124.48
Malolos,14.84,120.81
Maluñgun,6.28,125.28
Manaoag,16.04,120.49
Mandaluyong City,14.58,121.04
Mandaue City,10.32,123.92
Mangaldan,16.07,120.4
Mansilingan,10.63,122.98
Mantampay,8.17,124.22
Marawi City,8,124.28
Mariano,8.83,125.12
Marilao,14.76,120.95
Mariveles,14.43,120.49
Mati,6.96,126.22
Meycauayan,14.74,120.96
Minglanilla,10.25,123.8
Monkayo,7.82,126.05
Muricay,7.83,123.48
NIA Valencia,7.91,125.09
Naga,13.62,123.18
Naic,14.32,120.77
Nasugbu,14.07,120.63
Navotas,14.67,120.95
Norzagaray,14.91,121.05
Obando,14.71,120.94
Olongapo,14.83,120.28
Ormoc,11.01,124.61
Ozamiz City,8.15,123.84
Pagadian,7.83,123.44
Panabo,7.31,125.68
Panalanoy,11.25,125.01
Pasay,14.54,121
Pasig City,14.59,121.06
Patuto,14.12,120.97
Plaridel,14.89,120.86
Polangui,13.29,123.49
Polomolok,6.22,125.06
Puerto Princesa,9.74,118.74
Pulilan,14.9,120.85
Pulong Santa Cruz,14.27,121.08
Quezon City,14.65,121.05
Rodriguez,14.76,121.2
Roxas City,11.59,122.75
Sagay,10.94,123.42
San Fernando (La Union),16.62,120.32
San Fernando (Pampanga),15.03,120.68
San Ildefonso,15.08,120.94
San Jose,12.35,121.07
San Jose del Monte,14.81,121.05
San Juan,14.6,121.03
San Mateo,14.7,121.12
San Miguel,15.14,120.98
San Pablo,14.07,121.33
San Pedro,14.36,121.05
Santa Cruz,14.28,121.42
Santa Rosa,14.31,121.11
Santiago,16.69,121.55
Santo Tomas,14.11,121.14
Santol,15.16,120.57
Silang,14.22,120.97
Solana,17.65,121.69
Sorsogon,12.97,123.99
Subic,14.88,120.23
Surigao,9.79,125.5
Tabaco,13.36,123.73
Tacloban,11.24,125.01
Tacurong,6.69,124.68
Tagaytay,14.1,120.93
Tagbilaran City,9.66,123.85
Taguig,14.52,121.08
Talavera,15.59,120.92
Talisay (Cebu),10.74,122.97
Talisay (Negros),10.24,123.85
Tanauan,14.09,121.15
Tanay,14.5,121.29
Tanza,14.68,120.94
Tarlac City,15.48,120.6
Taytay,14.56,121.13
Toledo,10.38,123.64
Tuguegarao,17.62,121.72
Ualog,10.57,123.39
Urdaneta,15.98,120.57
Victorias,10.9,123.07
Zamboanga,6.91,122.07
